"[4.86447048 4.87999102 4.88496827 4.88199574 4.87422987 4.86455004
 4.8551106  4.8470826  4.84053442 4.8344955  4.82722325]","[19.76272011 19.84112895 19.92092657 20.00084917 20.08046497 20.15987651
 20.239317   20.31891178 20.39864255 20.47841397 20.55807965]"
"[4.99313593 5.00236858 5.00269851 4.99694303 4.98810492 4.97863658
 4.97006553 4.96284833 4.95647116 4.94983205 4.9419038 ]","[20.14007187 20.21948434 20.29945268 20.37923372 20.45874188 20.53817934
 20.61771795 20.6973909  20.77713613 20.85685966 20.93646455]"
"[5.0300045  5.03596245 5.03445751 5.02793902 5.01901534 5.00978634
 5.00149263 4.99439732 4.98792001 4.98104576 4.97300659]","[20.34211922 20.42185998 20.50182427 20.58155054 20.66105006 20.74051568
 20.82008381 20.89976796 20.97950518 21.05920879 21.13880302]"
"[5.0593791  5.06456769 5.06296618 5.05653148 5.04765272 5.03837651
 5.02997627 5.02277681 5.01624353 5.00935845 5.00128168]","[20.36544991 20.44525316 20.52521815 20.60495145 20.6844559  20.76391605
 20.84347304 20.92314781 21.00288047 21.08258315 21.16217346]"
"[5.09104204 5.09293888 5.08923265 5.08194989 5.07316035 5.06443378
 5.05656469 5.04953173 5.04270897 5.03533791 5.02725774]","[20.48254395 20.56249997 20.64240232 20.72206645 20.80158171 20.88110408
 20.96071563 21.04040566 21.1201141  21.19977345 21.27936415]"
"[5.10323048 5.10259733 5.0976916  5.0902024  5.08169141 5.07327793
 5.06549013 5.05827427 5.05117075 5.04366092 5.03568319]","[20.72723389 20.80721797 20.88706093 20.96670777 21.04625356 21.12580978
 21.20542957 21.28510337 21.36478732 21.44443389 21.52403502]"
"[5.10890388 5.1060312  5.1001375  5.09251414 5.08424508 5.07606165
 5.06828704 5.06087059 5.05351547 5.04590111 5.03799997]","[21.08419037 21.16413156 21.2439111  21.32354625 21.40311768 21.48269796
 21.56231919 21.64197463 21.72163579 21.80127253 21.88088136]"
"[5.13711119 5.13311096 5.1268286  5.11914677 5.11090224 5.10270389
 5.09484309 5.08729471 5.0798108  5.07210781 5.06414705]","[21.3651638  21.44505995 21.52481101 21.60444079 21.68401478 21.76359355
 21.84320634 21.9228494  22.00249856 22.0821268  22.1617297 ]"
"[5.14445448 5.13769331 5.1299716  5.12205362 5.11421614 5.10647425
 5.09874819 5.09097252 5.08314771 5.07533408 5.06758816]","[21.43725204 21.51696433 21.59659064 21.67619783 21.75581298 21.8354375
 21.91506355 21.99468477 22.07430118 22.15391868 22.2335428 ]"
"[5.14050388 5.13284577 5.12492876 5.11703849 5.10923444 5.10147174
 5.09368777 5.08585368 5.0779908  5.07015181 5.06236692]","[21.72329903 21.80293147 21.88253875 21.9621487  22.04176714 22.12138963
 22.20101004 22.28062553 22.36023819 22.4398532  22.51947352]"
"[5.10157442 5.09314753 5.08493927 5.07704999 5.06936437 5.06171057
 5.05396538 5.04610517 5.03820259 5.03036913 5.0226436 ]","[22.01670837 22.09626329 22.17584102 22.25545102 22.33508098 22.41471401
 22.49433819 22.57395111 22.65355983 22.73317539 22.81280148]"
"[5.07484055 5.06580674 5.05735963 5.04945943 5.04185562 5.03427692
 5.026552   5.01866078 5.01071605 5.00287587 4.99518653]","[22.27493286 22.35442103 22.43397362 22.51358247 22.59322027 22.67286048
 22.75248662 22.83209647 22.911701   22.99131588 23.07094547]"
"[5.0187974  5.00975761 5.00140223 4.99356085 4.98596495 4.97837429
 4.97065292 4.96279465 4.95489797 4.94709059 4.93940369]","[22.7138176  22.79330496 22.87286723 22.95248192 23.03212048 23.11175955
 23.19138604 23.27099915 23.35060846 23.43022657 23.50985641]"
"[4.98344851 4.97456909 4.96633089 4.95853339 4.95093282 4.94332923
 4.93561632 4.92779398 4.91994357 4.91216607 4.90448312]","[22.94098854 23.02049398 23.10006851 23.17968754 23.25932566 23.33896349
 23.41859081 23.49820746 23.57782135 23.65744238 23.7370726 ]"
"[4.93176985 4.92305618 4.91492503 4.90719197 4.89963604 4.89207701
 4.88441946 4.87666351 4.86888242 4.8611669  4.85353637]","[23.10732841 23.18685223 23.2664378  23.34606313 23.4257055  23.50534758
 23.58498024 23.66460338 23.74422407 23.82385114 23.9034864 ]"
