"[-0.6705538  -0.66762493 -0.66566664 -0.66424091 -0.66297757 -0.66170229
 -0.66037381 -0.65900489 -0.65761678 -0.65622336 -0.65483034]","[8.295578   8.37552375 8.45549944 8.53548667 8.61547669 8.69546652
 8.77545549 8.85544378 8.93543174 9.0154196  9.09540747]"
"[-0.6618222  -0.65899855 -0.6570762  -0.65565554 -0.65439125 -0.6531184
 -0.65179668 -0.65043714 -0.64905939 -0.64767642 -0.64629362]","[8.35620403 8.43615366 8.51613026 8.59611759 8.6761076  8.75609747
 8.83608655 8.916075   8.99606314 9.07605118 9.15603923]"
"[-0.6566332  -0.65395264 -0.65209532 -0.65069023 -0.64942336 -0.64814658
 -0.64682471 -0.64546849 -0.64409592 -0.6427188  -0.64134199]","[8.41248798 8.49244261 8.57242081 8.65240842 8.73239839 8.8123882
 8.89237728 8.97236578 9.05235401 9.13234216 9.21233031]"
"[-0.65535426 -0.65278591 -0.65096918 -0.64956625 -0.64829028 -0.64700564
 -0.64567989 -0.64432273 -0.64295058 -0.64157422 -0.6401981 ]","[8.47197151 8.5519299  8.63190907 8.71189673 8.79188655 8.87187623
 8.95186525 9.03185374 9.11184197 9.19183013 9.27181829]"
"[-0.65535426 -0.6527602  -0.65090736 -0.64948305 -0.64819982 -0.64691522
 -0.64559162 -0.64423633 -0.64286521 -0.64148917 -0.64011283]","[8.47197151 8.5519291  8.63190744 8.71189472 8.79188442 8.87187411
 8.95186316 9.03185168 9.11183993 9.19182809 9.27181625]"
"[-0.65698999 -0.65450404 -0.6527117  -0.65130434 -0.65001657 -0.64872191
 -0.64738955 -0.64602808 -0.64465259 -0.6432731  -0.64189374]","[8.53398514 8.61394619 8.69392594 8.77391352 8.85390316 8.93389268
 9.01388158 9.09387    9.17385818 9.25384628 9.33383439]"
"[-0.66020101 -0.65784176 -0.65610351 -0.65470218 -0.65340193 -0.6520928
 -0.65074933 -0.64938006 -0.64799861 -0.64661386 -0.64522943]","[8.59619331 8.67615826 8.75613924 8.83612694 8.91611637 8.99610566
 9.07609438 9.15608266 9.23607073 9.31605875 9.39604677]"
"[-0.65549278 -0.65319299 -0.65146808 -0.65006359 -0.64875936 -0.64744993
 -0.64610937 -0.6447446  -0.64336812 -0.64198823 -0.6406084 ]","[8.6695776  8.74954432 8.8295256  8.90951325 8.98950262 9.0694919
 9.14948067 9.22946903 9.30945719 9.38944529 9.46943339]"
"[-0.65549278 -0.6531778  -0.65143152 -0.65001436 -0.64870582 -0.64739641
 -0.64605712 -0.64469346 -0.64331759 -0.64193789 -0.64055793]","[8.6695776  8.7495439  8.82952472 8.90951214 8.98950143 9.06949072
 9.14947951 9.22946788 9.30945605 9.38944416 9.46943225]"
"[-0.65803039 -0.65580028 -0.65410097 -0.65269596 -0.65138233 -0.65006338
 -0.64871555 -0.64734543 -0.64596455 -0.64458058 -0.64319671]","[8.71413898 8.79410771 8.87408956 8.9540772  9.03406642 9.11405554
 9.19404419 9.27403246 9.35402054 9.43400857 9.5139966 ]"
"[-0.65760362 -0.65546987 -0.65381251 -0.65241434 -0.65109435 -0.64976785
 -0.64841506 -0.64704241 -0.64566035 -0.6442757  -0.64289125]","[8.78028297 8.86025436 8.94023711 9.02022488 9.10021399 9.18020299
 9.26019155 9.34017978 9.42016784 9.50015586 9.58014388]"
"[-0.66121501 -0.65912763 -0.65747739 -0.65606947 -0.6547368  -0.65339977
 -0.65203896 -0.65065976 -0.64927168 -0.64788105 -0.64649047]","[8.84891987 8.92889251 9.00887542 9.08886301 9.16885191 9.24884074
 9.32882917 9.40881728 9.48880524 9.56879315 9.64878106]"
"[-0.65308052 -0.65103088 -0.64939511 -0.64799288 -0.64666513 -0.64533473
 -0.64398213 -0.64261197 -0.64123318 -0.6398518  -0.63847036]","[8.91846371 8.99843734 9.07842055 9.15840825 9.23839723 9.31838617
 9.39837473 9.478363   9.55835112 9.63833919 9.71832726]"
"[-0.65444899 -0.65250014 -0.65091467 -0.64952337 -0.64818901 -0.64684849
 -0.64548763 -0.64411172 -0.64272878 -0.64134398 -0.63995941]","[8.99701309 9.07698926 9.1569735  9.2369614  9.31695027 9.39693904
 9.47692746 9.55691563 9.63690368 9.71689169 9.79687971]"
